Left context	Center	Class	Right context
 критериев и желаний на мужской 	 язык 	5	не переводится…  
 Дети понимают, зачем они учат 	 язык 	3	приобретают опыт общения со сверстниками 
 возможности его уволят, хотя и 	 язык 	4	на уровне, и человек хороший 
 в необразовательных учреждениях, где это (	 язык 	4	особенно) требуется.  
 годом набирает обороты специальность «Русский 	 язык 	3	как иностранный» (РКИ).  
 учили немецкий как единственный иностранный 	 язык 	3	 
 они с Олей нашли общий 	 язык 	5	 
 осталось только на копчёный олений 	 язык 	1	 
 процесс, Лавров предложил для БЭСМ 	 язык 	5	наподобие Ассемблера, который позволял составлять 
 из первых попыток создать расширяемый 	 язык 	5	программирования: Лавров описал механизм последовательного 
 участь может постигнуть латышский как 	 язык 	3	южного соседа.  
   Арабский 	 язык 	3	железно замкнут в своём регионе 
  Зная 	 язык 	3	другого народа, ты умеешь думать 
  	 Язык 	3	ведь несёт психологию народа, на 
 мере с тем, что другой 	 язык 	3	даёт возможность принять чужую культуру 
 важно, каким именно будет второй 	 язык 	3	 
 и синтеза рече-подобных сигналов: родной 	 язык 	3	иностранные языки и музыка.  
 тогда человек либо забывает родной 	 язык 	3	врождённый билингва забывает оба), либо 
 зона Вернике (Wernicke) отвечает за 	 язык 	3	 
 что в Британии хоть какой-нибудь 	 язык 	3	учили бы в школах на 
  	 Язык 	5	Инструмент-3м предоставляет стандартные управляющие 
   * программированию на DTML (	 язык 	5	разметки шаблонов документов).  
 Это помогает зрителю понимать иносказательный 	 язык 	4	авторов, пытающихся оживить знаки и 
 и не больно… хочу говорит 	 язык 	1	проколоть и всё..: ((  
 школе предложили на выбор второй 	 язык 	3	французский или немецкий.  
 французский для него самый трудный 	 язык 	3	из 4-х, на которых он 
 выбрать надо один… а какой 	 язык 	3	по мнению вашего сына легче 
 повезло в том, что немецкий 	 язык 	3	я с нуля в Германии 
  Гуманитарный уклон, 2-й 	 язык 	3	английский), дополнительные факультативы и пр 
 и др. прикладные программы), английский 	 язык 	3	базовый.  
" и Л. Д. Чесноковой ""Русский "	 язык 	3	 
 запрещении внесения изменений в русский 	 язык 	3	путём орфографической реформы), свидетельствует, что 
 вечно озабоченную и невыспавшуюся особу ― 	 язык 	2	не поворачивается.  
 как ему казалось, нашёл общий 	 язык 	5	 
  	 Язык 	5	взглядов так же выразителен, как 
 единому общему слою, то есть 	 язык 	3	происходит из одного корня?  
  То есть то, что 	 язык 	3	произошёл из одного источника.  
 Центральная Африка, где, по-видимому, возникает 	 язык 	3	а потом происходит и первое 
  И если 	 язык 	3	возникает даже на уровне 50 
 что кроманьонцы уже освоили этот 	 язык 	3	из единого корня и принесли 
  	 Язык 	3	постоянно изменяется и приблизительно через 
 В результате многолетнего речевого (азербайджанский 	 язык 	3	контакта с человеком и тренинга 
  ― Пока.   ― Можешь говорить?  Знаешь 	 язык 	3	 ― Знаю.   ― Кто падишах Ирана?  
 т. п. Надо признать, что 	 язык 	5	"психологии сильно засорён ""сверхучеными"" словами "
"   ""Государственный "	 язык 	3	Российской Федерации подлежит обязательному использованию 
" привести выдержки, скажем, из статьи 1 ""Русский "	 язык 	3	как государственный язык Российской Федерации 
"   ""Государственный "	 язык 	3	Российской Федерации является языком, способствующим 
" пас"" уже вошёл в русский "	 язык 	3	и не стоит штрафовать, сажать 
 ротовой полости (Платон считал, что 	 язык 	3	генерируется языком как мышечным органом 
 вряд ли у кого-то повернётся 	 язык 	2	называть этих людей эмигрантами.  
 России и хорошо знающий русский 	 язык 	3	рассказывал о постоянных коллизиях, которые 
 богослужения с латыни на родной 	 язык 	3	верующих.  
 лингвистами в XIX в. Вообще, 	 язык 	3	надёжный признак всякой этнической общности 
  	 Язык 	3	славян в это время только 
   1. Гамкрелидзе Т. В., Иванов Вяч. Вс. Индоевропейский 	 язык 	3	и индоевропейцы.  
 таком локальном центре был общий 	 язык 	3	восточных славян.  
 отношении с трудом нахожу общий 	 язык 	3	 
 кто в Италии помнит этрусский 	 язык 	3	 
   У кочевых скотоводов изменился 	 язык 	3	у оседлых же пахарей сменилась 
 хакер. ru и др.), специфические 	 язык 	3	и мифология, герои (Кевин Митник 
 и переведённый нами на русский 	 язык 	3	 
 во французскую, так как мне 	 язык 	3	давался очень легко, и к 
 классную руководительницу, которая вела русский 	 язык 	3	и литературу.  
 он увозил с собой немецкий 	 язык 	3	и немецкую литературу.  
 такими понятиями, как просвещение, культура, 	 язык 	3	со всем, что составляет нашу 
" по нематериальным активам, разработать ""единый "	 язык 	3	по интеллектуальному капиталу, уточнить само 
   	 Язык 	5	экспертов для представления знаний о 
" кемер"" в переводе на русский "	 язык 	3	"означает ""уголь"".  "
 Соломонович, да Лазарь Соломонович…  Охота 	 язык 	2	ломать?  Зовите просто― ваше превосходительство 
 просьб у трактирщика, похоже, отнялся 	 язык 	2	но только на время.  
  У Ирины высох рот, 	 язык 	1	стал шерстяной.  
 говоришь, ― перевела Снежана на русский 	 язык 	3	 
 результате два мира находят общий 	 язык 	5	и совместными усилиями всё устраивают 
 песен на родной для японцев 	 язык 	3	 
 Минобороны и РАО ЕЭС общий 	 язык 	5	 
 просто поговорка такая, это китайский 	 язык 	3	вернее, один из основных его 
 нам с Сергеем находить общий 	 язык 	5	 
 мода на Россию, на русский 	 язык 	3	возникшая в середине 80-х ― начале 
 237 (при переводе на французский 	 язык 	3	изотоп, утратив два нейтрона, преобразовался 
 очень общителен, умеет находить общий 	 язык 	5	с людьми.  
 друга.  Я быстро выучила испанский 	 язык 	3	 В Мадриде появилось несколько друзей 
" имеющих некоторое знание языка, назывались """	 Язык 	3	"и цивилизация Франции"".  "
